Mode: FUNC_078  Corner: FUNC_0.78V_SETUP
Scenario: FUNC_0.78V_SETUP
Constraint: max_capacitance

Category Summary
Category,VIOLATED
SRAM,16384
Power_Switch,88
Level_Shifter,2
BUF,5564
INV,62
mem,1116
others,464

Category,Type,Name,Required,Actual,Slack,Violation
others,NET,Net,Required Capacitance,Actual Capacitance,Slack,Violation
Level_Shifter,NET,bit_secure_0_power_ack_signals_19_0,8.000,101.072,-93.072,VIOLATED
Level_Shifter,PIN,PIN: bit_secure_0_sipo_slice_first/headerfooter_snps_PD_SIPO_SECURE__SW_SIPO_SLICE_snps_HEAD2X16_HVT_R0_C0_1/SLEEPOUT,8.000,101.072,-93.072,VIOLATED
Power_Switch,NET,piso_secure_0/power_ack_signals_20_388,8.000,39.316,-31.316,VIOLATED
Power_Switch,PIN,PIN: piso_secure_0/headerfooter_snps_PD_PISO_SECURE__SW_PISO_SECURE_snps_HEAD2X16_HVT_R588_C0_18/SLEEPOUT,8.000,39.316,-31.316,VIOLATED
Power_Switch,NET,piso_secure_0/power_ack_signals_20_194,8.000,34.982,-26.982,VIOLATED
Power_Switch,PIN,PIN: piso_secure_0/headerfooter_snps_PD_PISO_SECURE__SW_PISO_SECURE_snps_HEAD2X16_HVT_R882_C0_26/SLEEPOUT,8.000,34.982,-26.982,VIOLATED
Power_Switch,NET,piso_secure_0/power_ack_signals_20_582,8.000,31.894,-23.894,VIOLATED
Power_Switch,PIN,PIN: piso_secure_0/headerfooter_snps_PD_PISO_SECURE__SW_PISO_SECURE_snps_HEAD2X16_HVT_R293_C0_10/SLEEPOUT,8.000,31.894,-23.894,VIOLATED
SRAM,NET,bit_secure_14_slice_13_t_din2piso[1],0.025,20.360,-20.335,VIOLATED
SRAM,PIN,PIN: bit_secure_14_slice_13_nibble_0/O1[1],0.025,20.360,-20.335,VIOLATED
SRAM,NET,bit_secure_14_slice_13_t_din2piso[2],0.025,19.961,-19.936,VIOLATED
SRAM,PIN,PIN: bit_secure_14_slice_13_nibble_0/O1[2],0.025,19.961,-19.936,VIOLATED
