Mode: FUNC_085  Corner: FUNC_0.85V_SETUP
Scenario: FUNC_0.85V_SETUP
Constraint: max_capacitance

Category,Type,Name,Required,Actual,Slack,Violation
others,NET,Net,Required Capacitance,Actual Capacitance,Slack,Violation
Power_Switch,NET,piso_secure_0/power_ack_signals_20_388,8.000,33.974,-25.974,VIOLATED
Power_Switch,PIN,PIN: piso_secure_0/headerfooter_snps_PD_PISO_SECURE__SW_PISO_SECURE_snps_HEAD2X16_HVT_R588_C0_18/SLEEPOUT,8.000,33.974,-25.974,VIOLATED
Power_Switch,NET,piso_secure_0/power_ack_signals_20_582,8.000,31.668,-23.668,VIOLATED
Power_Switch,PIN,PIN: piso_secure_0/headerfooter_snps_PD_PISO_SECURE__SW_PISO_SECURE_snps_HEAD2X16_HVT_R293_C0_10/SLEEPOUT,8.000,31.668,-23.668,VIOLATED
SRAM,NET,bit_secure_9_slice_28_t_din2piso[0],0.025,22.493,-22.468,VIOLATED
SRAM,PIN,PIN: bit_secure_9_slice_28_nibble_0/O1[0],0.025,22.493,-22.468,VIOLATED
SRAM,NET,bit_secure_9_slice_28_t_din2piso[3],0.025,22.090,-22.065,VIOLATED
SRAM,PIN,PIN: bit_secure_9_slice_28_nibble_0/O1[3],0.025,22.090,-22.065,VIOLATED
SRAM,NET,bit_secure_9_slice_30_t_din2piso[10],0.025,21.917,-21.892,VIOLATED
SRAM,PIN,PIN: bit_secure_9_slice_30_nibble_1/O1[2],0.025,21.917,-21.892,VIOLATED
SRAM,NET,bit_secure_9_slice_28_t_din2piso[4],0.025,21.804,-21.779,VIOLATED
SRAM,PIN,PIN: bit_secure_9_slice_28_nibble_0/O2[0],0.025,21.804,-21.779,VIOLATED
SRAM,NET,bit_secure_9_slice_28_t_din2piso[6],0.025,21.790,-21.765,VIOLATED
SRAM,PIN,PIN: bit_secure_9_slice_28_nibble_0/O2[2],0.025,21.790,-21.765,VIOLATED
Level_Shifter,NET,bit_secure_0_power_ack_signals_19_0,8.000,29.270,-21.270,VIOLATED
Level_Shifter,PIN,PIN: bit_secure_0_sipo_slice_first/headerfooter_snps_PD_SIPO_SECURE__SW_SIPO_SLICE_snps_HEAD2X16_HVT_R0_C0_1/SLEEPOUT,8.000,29.270,-21.270,VIOLATED
Power_Switch,NET,piso_secure_0/power_ack_signals_20_194,8.000,29.058,-21.058,VIOLATED
Power_Switch,PIN,PIN: piso_secure_0/headerfooter_snps_PD_PISO_SECURE__SW_PISO_SECURE_snps_HEAD2X16_HVT_R882_C0_26/SLEEPOUT,8.000,29.058,-21.058,VIOLATED
SRAM,NET,bit_secure_9_slice_23_t_din2piso[3],0.025,20.877,-20.852,VIOLATED
SRAM,PIN,PIN: bit_secure_9_slice_23_nibble_0/O1[3],0.025,20.877,-20.852,VIOLATED
SRAM,NET,bit_secure_9_slice_30_t_din2piso[12],0.025,20.640,-20.615,VIOLATED
SRAM,PIN,PIN: bit_secure_9_slice_30_nibble_1/O2[0],0.025,20.640,-20.615,VIOLATED
SRAM,NET,bit_secure_9_slice_23_t_din2piso[13],0.025,20.539,-20.514,VIOLATED
SRAM,PIN,PIN: bit_secure_9_slice_23_nibble_1/O2[1],0.025,20.539,-20.514,VIOLATED
SRAM,NET,bit_secure_9_slice_30_t_din2piso[14],0.025,20.477,-20.452,VIOLATED
SRAM,PIN,PIN: bit_secure_9_slice_30_nibble_1/O2[2],0.025,20.477,-20.452,VIOLATED
SRAM,NET,bit_secure_9_slice_30_t_din2piso[13],0.025,20.408,-20.383,VIOLATED
SRAM,PIN,PIN: bit_secure_9_slice_30_nibble_1/O2[1],0.025,20.408,-20.383,VIOLATED
SRAM,NET,bit_secure_13_slice_20_t_din2piso[1],0.025,20.306,-20.281,VIOLATED
SRAM,PIN,PIN: bit_secure_13_slice_20_nibble_0/O1[1],0.025,20.306,-20.281,VIOLATED
SRAM,NET,bit_secure_15_slice_22_t_din2piso[0],0.025,20.239,-20.214,VIOLATED
SRAM,PIN,PIN: bit_secure_15_slice_22_nibble_0/O1[0],0.025,20.239,-20.214,VIOLATED
SRAM,NET,bit_secure_9_slice_29_t_din2piso[12],0.025,20.233,-20.208,VIOLATED
SRAM,PIN,PIN: bit_secure_9_slice_29_nibble_1/O2[0],0.025,20.233,-20.208,VIOLATED
SRAM,NET,bit_secure_9_slice_23_t_din2piso[15],0.025,20.098,-20.073,VIOLATED
SRAM,PIN,PIN: bit_secure_9_slice_23_nibble_1/O2[3],0.025,20.098,-20.073,VIOLATED
SRAM,NET,bit_secure_9_slice_23_t_din2piso[8],0.025,20.095,-20.070,VIOLATED
SRAM,PIN,PIN: bit_secure_9_slice_23_nibble_1/O1[0],0.025,20.095,-20.070,VIOLATED
SRAM,NET,bit_secure_15_slice_22_t_din2piso[7],0.025,20.093,-20.068,VIOLATED
SRAM,PIN,PIN: bit_secure_15_slice_22_nibble_0/O2[3],0.025,20.093,-20.068,VIOLATED
SRAM,NET,bit_secure_9_slice_23_t_din2piso[12],0.025,20.030,-20.005,VIOLATED
SRAM,PIN,PIN: bit_secure_9_slice_23_nibble_1/O2[0],0.025,20.030,-20.005,VIOLATED
SRAM,NET,bit_secure_13_slice_20_t_din2piso[5],0.025,19.937,-19.912,VIOLATED
SRAM,PIN,PIN: bit_secure_13_slice_20_nibble_0/O2[1],0.025,19.937,-19.912,VIOLATED
SRAM,NET,bit_secure_9_slice_29_t_din2piso[14],0.025,19.834,-19.809,VIOLATED
SRAM,PIN,PIN: bit_secure_9_slice_29_nibble_1/O2[2],0.025,19.834,-19.809,VIOLATED
SRAM,NET,bit_secure_9_slice_23_t_din2piso[10],0.025,19.648,-19.623,VIOLATED
SRAM,PIN,PIN: bit_secure_9_slice_23_nibble_1/O1[2],0.025,19.648,-19.623,VIOLATED
SRAM,NET,bit_secure_15_slice_22_t_din2piso[15],0.025,19.572,-19.547,VIOLATED
SRAM,PIN,PIN: bit_secure_15_slice_22_nibble_1/O2[3],0.025,19.572,-19.547,VIOLATED
SRAM,NET,bit_secure_13_slice_20_t_din2piso[2],0.025,19.507,-19.482,VIOLATED
SRAM,PIN,PIN: bit_secure_13_slice_20_nibble_0/O1[2],0.025,19.507,-19.482,VIOLATED
SRAM,NET,bit_secure_9_slice_29_t_din2piso[8],0.025,19.401,-19.376,VIOLATED
SRAM,PIN,PIN: bit_secure_9_slice_29_nibble_1/O1[0],0.025,19.401,-19.376,VIOLATED
SRAM,NET,bit_secure_9_slice_28_t_din2piso[8],0.025,19.220,-19.195,VIOLATED
SRAM,PIN,PIN: bit_secure_9_slice_28_nibble_1/O1[0],0.025,19.220,-19.195,VIOLATED
SRAM,NET,bit_secure_15_slice_22_t_din2piso[5],0.025,19.208,-19.183,VIOLATED
SRAM,PIN,PIN: bit_secure_15_slice_22_nibble_0/O2[1],0.025,19.208,-19.183,VIOLATED
SRAM,NET,bit_secure_9_slice_29_t_din2piso[10],0.025,19.147,-19.122,VIOLATED
SRAM,PIN,PIN: bit_secure_9_slice_29_nibble_1/O1[2],0.025,19.147,-19.122,VIOLATED
SRAM,NET,bit_secure_13_slice_20_t_din2piso[4],0.025,18.992,-18.967,VIOLATED
SRAM,PIN,PIN: bit_secure_13_slice_20_nibble_0/O2[0],0.025,18.992,-18.967,VIOLATED
SRAM,NET,bit_secure_9_slice_23_t_din2piso[14],0.025,18.862,-18.837,VIOLATED
SRAM,PIN,PIN: bit_secure_9_slice_23_nibble_1/O2[2],0.025,18.862,-18.837,VIOLATED
SRAM,NET,bit_secure_15_slice_22_t_din2piso[13],0.025,18.762,-18.737,VIOLATED
SRAM,PIN,PIN: bit_secure_15_slice_22_nibble_1/O2[1],0.025,18.762,-18.737,VIOLATED
SRAM,NET,bit_secure_15_slice_22_t_din2piso[3],0.025,18.637,-18.612,VIOLATED
SRAM,PIN,PIN: bit_secure_15_slice_22_nibble_0/O1[3],0.025,18.637,-18.612,VIOLATED
SRAM,NET,bit_secure_9_slice_31_t_din2piso[10],0.025,18.540,-18.515,VIOLATED
SRAM,PIN,PIN: bit_secure_9_slice_31_nibble_1/O1[2],0.025,18.540,-18.515,VIOLATED
SRAM,NET,bit_secure_9_slice_28_t_din2piso[14],0.025,18.493,-18.468,VIOLATED
SRAM,PIN,PIN: bit_secure_9_slice_28_nibble_1/O2[2],0.025,18.493,-18.468,VIOLATED
SRAM,NET,bit_secure_15_slice_22_t_din2piso[1],0.025,18.468,-18.443,VIOLATED
SRAM,PIN,PIN: bit_secure_15_slice_22_nibble_0/O1[1],0.025,18.468,-18.443,VIOLATED
SRAM,NET,bit_secure_13_slice_20_t_din2piso[0],0.025,18.418,-18.393,VIOLATED
